2025-07-19 18:19:51,240 | INFO | Cleaned and saved ttc-subway-delay-data-2023.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-data-2023.csv
2025-07-19 18:19:51,513 | INFO | Cleaned and saved ttc-subway-delay-data-2024.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-data-2024.csv
2025-07-19 18:19:51,524 | INFO | Cleaned and saved ttc-subway-delay-data-readme.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-data-readme.csv
2025-07-19 18:19:52,177 | INFO | Cleaned and saved ttc-subway-delay-jan-2014-april-2017.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-jan-2014-april-2017.csv
2025-07-19 18:19:52,224 | INFO | Cleaned and saved ttc-subway-delay-may-december-2017.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-may-december-2017.csv
2025-07-19 18:19:52,370 | INFO | Cleaned and saved TTC_Subway_Delay_Data_since_2025.xml.csv to data\processed\ttc-subway-delay-data\TTC_Subway_Delay_Data_since_2025.xml.csv
2025-07-19 18:19:52,371 | INFO | Data cleaning complete. Clean files saved to data\processed\ttc-subway-delay-data
2025-07-19 18:35:24,045 | INFO | Found 13 CSV files to clean in data\raw\ttc-subway-delay-data-format_converted
2025-07-19 18:35:24,082 | INFO | Cleaned and saved Code_Descriptions.xml.csv to data\processed\ttc-subway-delay-data\Code_Descriptions.xml.csv
2025-07-19 18:35:24,098 | INFO | Cleaned and saved ttc-subway-delay-codes.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-codes.csv
2025-07-19 18:35:24,147 | INFO | Cleaned and saved ttc-subway-delay-data-2018.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-data-2018.csv
2025-07-19 18:35:24,215 | INFO | Cleaned and saved ttc-subway-delay-data-2019.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-data-2019.csv
2025-07-19 18:35:24,253 | INFO | Cleaned and saved ttc-subway-delay-data-2020.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-data-2020.csv
2025-07-19 18:35:24,297 | INFO | Cleaned and saved ttc-subway-delay-data-2021.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-data-2021.csv
2025-07-19 18:35:24,567 | INFO | Cleaned and saved ttc-subway-delay-data-2022.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-data-2022.csv
2025-07-19 18:35:24,802 | INFO | Cleaned and saved ttc-subway-delay-data-2023.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-data-2023.csv
2025-07-19 18:35:25,067 | INFO | Cleaned and saved ttc-subway-delay-data-2024.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-data-2024.csv
2025-07-19 18:35:25,075 | INFO | Cleaned and saved ttc-subway-delay-data-readme.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-data-readme.csv
2025-07-19 18:35:25,927 | INFO | Cleaned and saved ttc-subway-delay-jan-2014-april-2017.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-jan-2014-april-2017.csv
2025-07-19 18:35:25,968 | INFO | Cleaned and saved ttc-subway-delay-may-december-2017.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-may-december-2017.csv
2025-07-19 18:35:26,106 | INFO | Cleaned and saved TTC_Subway_Delay_Data_since_2025.xml.csv to data\processed\ttc-subway-delay-data\TTC_Subway_Delay_Data_since_2025.xml.csv
2025-07-19 18:35:26,107 | INFO | Data cleaning complete. Clean files saved to data\processed\ttc-subway-delay-data
